id,display_name,name,start_date,end_date,type
000001.XSHG,上证指数,SZZS,1991-07-15,2200-01-01,index
000016.XSHG,上证50,SZ50,2004-01-02,2200-01-01,index
000300.XSHG,沪深300,HS300,2005-04-08,2200-01-01,index
000905.XSHG,中证500,ZZ500,2007-01-15,2200-01-01,index
000906.XSHG,中证800,ZZ800,2007-01-15,2200-01-01,index
399001.XSHE,深证成指,SZCZ,1995-01-23,2200-01-01,index
399005.XSHE,中小板指,ZXBZ,2006-01-24,2200-01-01,index
399006.XSHE,创业板指,CYBZ,2010-06-01,2200-01-01,index
399300.XSHE,沪深300,HS300,2005-04-08,2200-01-01,index
399673.XSHE,创业板50,CYB50,2014-06-18,2200-01-01,index
399905.XSHE,中证500,ZZ500,2007-01-15,2200-01-01,index
