,tv
2018-01-08,1048352.3500000001
2018-01-09,1041616.3500000002
2018-01-10,1048712.35
2018-01-11,1046176.3500000001
2018-01-12,1051952.35
2018-01-15,1023320.3500000001
2018-01-16,1079132.35
2018-01-17,1073184.35
2018-01-18,1092628.35
2018-01-19,1069272.35
2018-01-22,1068184.35
2018-01-23,1084280.35
2018-01-24,1113252.35
2018-01-25,1100072.35
2018-01-26,1085524.35
2018-01-29,1077676.35
2018-01-30,1065812.35
2018-01-31,1069880.35
2018-02-01,1044552.3500000001
2018-02-02,1043148.3500000001
2018-02-05,1049281.7400000002
2018-02-06,989537.74
2018-02-07,974601.7400000002
2018-02-08,948463.7400000001
2018-02-09,877517.7400000001
2018-02-12,894320.7400000001
2018-02-13,901788.7400000001
2018-02-14,950330.74
2018-02-22,970867.7400000001
2018-02-23,985803.7400000001
2018-02-26,987670.7400000001
2018-02-27,950330.74
2018-02-28,955931.7400000001
2018-03-01,931660.7400000001
2018-03-02,911123.74
2018-03-05,894320.7400000001
2018-03-06,929793.7400000001
2018-03-07,898054.7400000001
2018-03-08,890586.7400000001
2018-03-09,871916.7400000001
2018-03-12,870780.8600000001
2018-03-13,870780.8600000001
2018-03-14,870780.8600000001
2018-03-15,870780.8600000001
2018-03-16,870780.8600000001
2018-03-19,870780.8600000001
2018-03-20,870780.8600000001
2018-03-21,870780.8600000001
2018-03-22,870780.8600000001
2018-03-23,870780.8600000001
2018-03-26,870780.8600000001
2018-03-27,870780.8600000001
2018-03-28,870780.8600000001
2018-03-29,870780.8600000001
2018-03-30,870780.8600000001
2018-04-02,870780.8600000001
2018-04-03,870780.8600000001
2018-04-04,870780.8600000001
2018-04-09,870780.8600000001
2018-04-10,870780.8600000001
2018-04-11,873605.3600000001
2018-04-12,882239.3600000001
2018-04-13,866910.3600000001
2018-04-16,870808.3600000001
2018-04-17,836170.3600000001
2018-04-18,848232.3600000001
2018-04-19,863498.3600000001
2018-04-20,872079.3600000001
2018-04-23,860195.3600000001
2018-04-24,874909.3600000001
2018-04-25,917889.3600000001
2018-04-26,892316.3600000001
2018-04-27,936710.3600000001
2018-05-02,932021.3600000001
2018-05-03,912373.3600000001
2018-05-04,927853.3600000001
2018-05-07,956110.3600000001
2018-05-08,943968.3600000001
2018-05-09,945498.3600000001
2018-05-10,976923.3600000001
2018-05-11,957191.5100000001
2018-05-14,955086.5100000001
2018-05-15,968862.5100000002
2018-05-16,964138.5100000002
2018-05-17,960286.5100000001
2018-05-18,947001.5100000001
2018-05-21,947010.5100000001
2018-05-22,949377.5100000001
2018-05-23,943041.5100000001
2018-05-24,948618.5100000001
2018-05-25,951307.51
2018-05-28,939346.5100000001
2018-05-29,926679.5100000001
2018-05-30,919965.5100000001
2018-05-31,925866.5100000001
2018-06-01,908800.5100000001
2018-06-04,906095.5100000001
2018-06-05,923543.5100000001
2018-06-06,921044.5100000001
2018-06-07,913866.5100000001
2018-06-08,932639.5600000002
2018-06-11,916427.56
2018-06-12,911409.56
2018-06-13,911023.56
2018-06-14,889407.56
2018-06-15,884389.5600000002
2018-06-19,878599.56
2018-06-20,946921.56
2018-06-21,952325.56
2018-06-22,958501.56
2018-06-25,980889.5600000002
2018-06-26,971239.5600000002
2018-06-27,937657.56
2018-06-28,933411.56
2018-06-29,953483.56
2018-07-02,953483.56
2018-07-03,923761.56
2018-07-04,890565.5599999999
2018-07-05,879371.56
2018-07-06,893653.56
2018-07-09,896731.8700000001
2018-07-10,896731.8700000001
2018-07-11,896731.8700000001
2018-07-12,896731.8700000001
2018-07-13,896731.8700000001
2018-07-16,896731.8700000001
2018-07-17,896731.8700000001
2018-07-18,896731.8700000001
2018-07-19,896731.8700000001
2018-07-20,896731.8700000001
2018-07-23,896731.8700000001
2018-07-24,896731.8700000001
2018-07-25,896731.8700000001
2018-07-26,896731.8700000001
2018-07-27,896731.8700000001
2018-07-30,896731.8700000001
2018-07-31,896731.8700000001
2018-08-01,896731.8700000001
2018-08-02,896731.8700000001
2018-08-03,896731.8700000001
2018-08-06,895133.0300000001
2018-08-07,910555.0300000001
2018-08-08,911957.0300000001
2018-08-09,914761.0300000001
2018-08-10,900741.0300000001
2018-08-13,911957.0300000001
2018-08-14,900741.0300000001
2018-08-15,875505.0300000001
2018-08-16,875505.0300000001
2018-08-17,875505.0300000001
2018-08-20,893731.0300000001
2018-08-21,889525.0300000001
2018-08-22,882515.0300000001
2018-08-23,872701.0300000001
2018-08-24,862887.0300000001
2018-08-27,872701.0300000001
2018-08-28,888123.0300000001
2018-08-29,886721.0300000001
2018-08-30,889525.0300000001
2018-08-31,874103.03
2018-09-03,867644.5800000001
2018-09-04,876583.5800000001
2018-09-05,865090.5800000001
2018-09-06,859982.5800000001
2018-09-07,866367.5800000001
2018-09-10,863813.5800000001
2018-09-11,815287.5800000001
2018-09-12,824226.5800000001
2018-09-13,834442.5800000001
2018-09-14,847212.5800000001
2018-09-17,830611.5800000001
2018-09-18,857428.5800000001
2018-09-19,857428.5800000001
2018-09-20,863813.5800000001
2018-09-21,876583.5800000001
2018-09-25,875306.5800000001
2018-09-26,884245.5800000001
2018-09-27,877860.5800000001
2018-09-28,875306.5800000001
2018-10-08,840827.5800000001
2018-10-09,840656.3200000001
2018-10-10,831656.3200000001
2018-10-11,820906.3200000001
2018-10-12,831156.3200000001
2018-10-15,821156.3200000001
2018-10-16,824031.3200000001
2018-10-17,820531.3200000001
2018-10-18,803531.3200000001
2018-10-19,815781.3200000001
2018-10-22,838031.3200000001
2018-10-23,821281.3200000001
2018-10-24,816156.3200000001
2018-10-25,809531.3200000001
2018-10-26,806156.3200000001
2018-10-29,793781.3200000001
